"","Species","Block","Sex","Year","Quota","Adult.Body.Mass.Kg","quota_weight"
"64","Buffalo","Matetsi 5","Female",2006,NA,646.33299,NA
"65","Buffalo","Hwange 2","Female",2009,0,646.33299,0
"66","Buffalo","Matetsi 6","Female",2002,NA,646.33299,NA
"67","Buffalo","Matetsi 6","Female",2000,NA,646.33299,NA
"68","Buffalo","Matetsi 6","Female",2001,NA,646.33299,NA
"69","Buffalo","Matetsi 2","Female",2010,3,646.33299,1938.99897
"70","Buffalo","Matetsi 6","Female",2006,3,646.33299,1938.99897
"71","Buffalo","Matetsi 5","Male",2009,13,646.33299,8402.32887
"72","Buffalo","Deka Tail","Female",2016,0,646.33299,0
"73","Buffalo","Hwange 1","Male",2006,6,646.33299,3877.99794
"74","Buffalo","Deka Tail","Male",2002,NA,646.33299,NA
"75","Buffalo","Matetsi 2","Male",2006,13,646.33299,8402.32887
"76","Buffalo","Hwange 2","Female",2013,0,646.33299,0
"77","Buffalo","Hwange 2","Female",2008,0,646.33299,0
"78","Buffalo","Deka Pool","Male",2013,8,646.33299,5170.66392
"79","Buffalo","Fuller","Male",2006,6,646.33299,3877.99794
"80","Buffalo","Fuller","Male",2010,6,646.33299,3877.99794
"81","Buffalo","Hwange 1","Male",2002,NA,646.33299,NA
"82","Buffalo","Matetsi 6","Male",2008,14,646.33299,9048.66186
"83","Buffalo","Ngamo & Sikumi","Female",2018,1,646.33299,646.33299
"84","Buffalo","Matetsi 5","Female",2005,NA,646.33299,NA
"85","Buffalo","Kazuma","Male",2006,16,646.33299,10341.32784
"86","Buffalo","Matetsi 6","Female",2018,0,646.33299,0
"87","Buffalo","Deka Tail","Male",2000,NA,646.33299,NA
"88","Buffalo","Deka Tail","Male",2004,NA,646.33299,NA
"89","Buffalo","Hwange 2","Female",2007,0,646.33299,0
"90","Buffalo","Kazuma","Male",2000,13,646.33299,8402.32887
"91","Buffalo","Kazuma","Male",2001,13,646.33299,8402.32887
"92","Buffalo","Deka Tail","Female",2006,NA,646.33299,NA
"93","Buffalo","Deka Pool","Male",2007,5,646.33299,3231.66495
"94","Buffalo","Deka Tail","Male",2010,8,646.33299,5170.66392
"95","Buffalo","Matetsi 3","Male",2006,NA,646.33299,NA
