"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"3121",2007,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",17.53500672
"3122",2016,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",13.59857664
"3123",2006,"ZW","Forest (State)","Forestry","60","Woodland",50.18948352
"3124",2008,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3125",2000,"ZW","Forest (State)","Forestry","60","Woodland",47.59501824
"3126",1998,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",222.13990656
"3127",1993,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",82.12824576
"3128",2002,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3129",2006,"BW","Mixed (Private)","Arable/pastoral/built","60","Woodland",403.75247616
"3130",1998,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"3131",1993,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"3132",2008,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"3133",2012,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",17.53500672
"3134",2003,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",113.70915072
"3135",1998,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",71.48199168
"3136",1995,"ZW","Forest (State)","Forestry","60","Woodland",48.7580544
"3137",1996,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.14536448
"3138",1995,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"3139",2009,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"3140",1996,"BW","Mixed (Private)","Arable/pastoral/built","60","Woodland",397.48997376
"3141",2013,"BW","Mixed (Private)","Arable/pastoral/built","60","Woodland",502.3421568
"3142",2018,"BW","Forest (State)","Forestry","60","Woodland",139.1170176
"3143",2013,"ZW","Forest (State)","Forestry","60","Woodland",126.1446912
"3144",2016,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.08946432
"3145",1999,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"3146",2007,"ZW","Wildlife (State)","Wildlife","60","Woodland",86.51199744
"3147",2010,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",106.9098624
"3148",2001,"ZW","Forest (State)","Forestry","60","Woodland",47.59501824
"3149",1995,"BW","Wildlife (State)","Wildlife","60","Woodland",0.08946432
"3150",2005,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.62901504
"3151",2012,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"3152",2016,"ZW","Mixed (Private)","Mining/pastoral/bush/built","60","Woodland",17.62447104
"3153",2011,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",13.95643392
"3154",2012,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"3155",2004,"BW","Forest (State)","Forestry","60","Woodland",96.35307264
"3156",1994,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"3157",1996,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"3158",2000,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",112.90397184
"3159",2010,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3160",1997,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",184.56489216
"3161",2018,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",204.33650688
