"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"731",2009,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",518.35627008
"732",2010,"ZW","Forest (State)","Forestry","120","Shrubland",189.48542976
"733",1994,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"734",1994,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"735",2016,"BW","Wildlife (State)","Wildlife","120","Shrubland",187.875072
"736",1992,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"737",1999,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1797.06979584
"738",1998,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"739",2004,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2559.30580224
"740",2010,"ZW","Forest (State)","Forestry","120","Shrubland",42.22715904
"741",2006,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.13947392
"742",2003,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",311.51476224
"743",2005,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"744",2002,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.31840256
"745",1999,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"746",2013,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"747",2004,"ZW","Forest (State)","Forestry","120","Shrubland",42.495552
"748",1997,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"749",2000,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"750",1992,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",316.07744256
"751",1998,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",519.25091328
"752",2017,"BW","Forest (State)","Forestry","120","Shrubland",1151.04794112
"753",2000,"BW","Forest (State)","Forestry","120","Shrubland",1184.59706112
"754",2013,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"755",2011,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"756",2005,"ZW","Forest (State)","Forestry","120","Shrubland",216.14579712
"757",2016,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"758",2010,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"759",1992,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"760",2012,"ZW","Forest (State)","Forestry","120","Shrubland",67.18770432
"761",2008,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1335.88122624
"762",2000,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1509.2630784
"763",2015,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"764",2006,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",83.73860352
"765",2009,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.8580736
"766",2016,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.31840256
"767",2007,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"768",2015,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1335.7022976
"769",2012,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2549.10686976
"770",2014,"BW","Wildlife (State)","Wildlife","120","Shrubland",185.45953536
"771",1997,"BW","Wildlife (State)","Wildlife","120","Shrubland",187.60667904
"772",2000,"ZW","Forest (State)","Forestry","120","Shrubland",67.9928832
"773",1992,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",26.839296
"774",2007,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1796.08568832
"775",2009,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"776",1993,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",14.58268416
"777",1995,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"778",2007,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"779",1996,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.20304384
"780",2009,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1337.75997696
"781",2009,"BW","Forest (State)","Forestry","120","Shrubland",1170.81955584
"782",2000,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"783",2015,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"784",1997,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1319.1513984
"785",2017,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",24.96054528
"786",2012,"BW","Forest (State)","Forestry","120","Shrubland",1170.73009152
"787",1995,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2200.64334336
"788",2011,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"789",1992,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"790",2007,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2167.98886656
"791",2004,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",99.66325248
"792",2012,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",309.63601152
"793",1995,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"794",2014,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2158.32672
"795",2003,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"796",1995,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.69982208
"797",1999,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"798",2009,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.0241152
"799",2015,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1786.51300608
"800",2012,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.61035776
"801",1997,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.20304384
"802",2011,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.05289472
"803",2002,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"804",1998,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.69982208
"805",2015,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"806",2003,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.11357952
"807",2011,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"808",1998,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"809",2012,"BW","Wildlife (State)","Wildlife","120","Shrubland",185.99632128
"810",1992,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"811",2007,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"812",2003,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"813",1999,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",108.2518272
"814",2013,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",79.80217344
"815",1996,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2550.35937024
"816",1992,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.4714368
"817",2000,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"818",2002,"ZW","Forest (State)","Forestry","120","Shrubland",216.14579712
"819",1997,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"820",2008,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"821",1997,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",14.58268416
"822",2015,"ZW","Forest (State)","Forestry","120","Shrubland",189.12757248
"823",2015,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2548.30169088
"824",2018,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1330.15550976
"825",1996,"BW","Forest (State)","Forestry","120","Shrubland",1185.13384704
"826",2005,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1326.93479424
"827",2015,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"828",2004,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"829",2010,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1409.42089728
"830",2013,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.9446528
"831",2011,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"832",1999,"BW","Forest (State)","Forestry","120","Shrubland",1185.13384704
"833",2007,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"834",2012,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1338.02836992
"835",2000,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",100.55789568
"836",2010,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"837",2013,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.05289472
"838",1999,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"839",2006,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"840",2000,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"841",1998,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"842",2013,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"843",2018,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",20.21893632
"844",2002,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",310.17279744
"845",2016,"ZW","Forest (State)","Forestry","120","Shrubland",0.8946432
"846",2001,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.31840256
"847",2010,"BW","Wildlife (State)","Wildlife","120","Shrubland",185.90685696
"848",1993,"BW","Wildlife (State)","Wildlife","120","Shrubland",187.60667904
"849",2008,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",155.2205952
"850",1999,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"851",1992,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2539.08686592
"852",2002,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",172.39774464
"853",2008,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"854",2010,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2549.10686976
"855",2017,"ZW","Forest (State)","Forestry","120","Shrubland",66.38252544
"856",2014,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.05289472
"857",2015,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",154.41541632
"858",2011,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"859",2011,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"860",1998,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2558.32169472
"861",2017,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2540.24990208
"862",2001,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"863",1994,"BW","Forest (State)","Forestry","120","Shrubland",1185.13384704
"864",2000,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"865",2000,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",83.91753216
"866",2017,"ZW","Forest (State)","Forestry","120","Shrubland",0.8946432
"867",2018,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.17892864
"868",2000,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"869",2000,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.11357952
"870",2005,"ZW","Forest (State)","Forestry","120","Shrubland",67.9928832
"871",1995,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"872",2009,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"873",2014,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1335.7022976
"874",2002,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",99.66325248
"875",1999,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2207.0847744
"876",2014,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1391.52803328
"877",2003,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"878",2003,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"879",2015,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"880",1992,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",171.14524416
"881",1997,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.69982208
"882",2002,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"883",2006,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"884",2003,"BW","Forest (State)","Forestry","120","Shrubland",1182.53938176
"885",2004,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",311.51476224
"886",2000,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"887",2017,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",309.5465472
"888",2001,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.11357952
"889",1992,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",85.25949696
"890",1995,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1791.9703296
"891",2006,"ZW","Forest (State)","Forestry","120","Shrubland",67.9928832
"892",2000,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.61035776
"893",2016,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.14235904
"894",1992,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"895",1993,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",316.07744256
"896",2006,"BW","Forest (State)","Forestry","120","Shrubland",1181.46580992
"897",2000,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2199.74870016
"898",1995,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",14.58268416
"899",2013,"ZW","Forest (State)","Forestry","120","Shrubland",67.18770432
"900",2000,"ZW","Forest (State)","Forestry","120","Shrubland",216.14579712
"901",2000,"BW","Wildlife (State)","Wildlife","120","Shrubland",187.60667904
"902",2014,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1786.51300608
"903",2008,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.0241152
"904",2003,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"905",2011,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",154.41541632
"906",2018,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",308.11511808
"907",2015,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"908",2000,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",26.839296
"909",2015,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.29250816
"910",2017,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.14235904
"911",2018,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"912",2013,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"913",1999,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",173.02399488
"914",1995,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2543.9179392
"915",2004,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"916",2017,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"917",2018,"BW","Forest (State)","Forestry","120","Shrubland",1141.74365184
"918",1992,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"919",2000,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",516.83537664
"920",2016,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"921",2005,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"922",2012,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",154.41541632
"923",2004,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"924",2001,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"925",1999,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",26.839296
"926",1998,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1325.23497216
"927",1994,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"928",1996,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2204.31138048
"929",2004,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1326.308544
"930",2014,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"931",1995,"BW","Wildlife (State)","Wildlife","120","Shrubland",187.60667904
"932",2016,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"933",2010,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"934",1997,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1788.66014976
"935",2005,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"936",2008,"ZW","Forest (State)","Forestry","120","Shrubland",200.66846976
"937",2016,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1787.9444352
"938",1998,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"939",2016,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",78.63913728
"940",2005,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"941",2001,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",516.83537664
"942",2010,"BW","Forest (State)","Forestry","120","Shrubland",1170.73009152
"943",2015,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"944",2001,"BW","Wildlife (State)","Wildlife","120","Shrubland",186.89096448
"945",2017,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",20.48732928
"946",2007,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1486.53914112
"947",2013,"BW","Forest (State)","Forestry","120","Shrubland",1170.73009152
"948",2018,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",72.10824192
"949",1999,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"950",1999,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1329.26086656
"951",2014,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",309.63601152
"952",1995,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"953",2002,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",83.73860352
"954",2016,"BW","Forest (State)","Forestry","120","Shrubland",1169.11973376
"955",2011,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.38197248
"956",1993,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.69982208
"957",2009,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2549.64365568
"958",1993,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.4714368
"959",2010,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.61035776
"960",2018,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"961",1995,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",26.839296
"962",1999,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1511.23129344
"963",2014,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"964",1998,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",14.58268416
"965",2004,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"966",1996,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",171.14524416
"967",2013,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"968",2011,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1786.69193472
"969",2004,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"970",2010,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"971",2014,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.9446528
"972",1998,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2207.0847744
"973",1996,"BW","Wildlife (State)","Wildlife","120","Shrubland",187.60667904
"974",1997,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",519.25091328
"975",2011,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",79.80217344
"976",2016,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.16303616
"977",2005,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1785.79729152
"978",1993,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"979",1992,"ZW","Forest (State)","Forestry","120","Shrubland",49.92109056
"980",2004,"ZW","Forest (State)","Forestry","120","Shrubland",216.14579712
"981",2006,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"982",2008,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.9446528
"983",1992,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",108.43075584
"984",2014,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"985",2013,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"986",2012,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1786.69193472
"987",1992,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",519.25091328
"988",1992,"ZW","Wildlife (Communal)","Wildlife","120","Shrubland",1791.9703296
"989",2007,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1336.1496192
"990",2014,"BW","Forest (State)","Forestry","120","Shrubland",1169.65651968
"991",2008,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.8580736
"992",2011,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1401.81643008
"993",2011,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2549.10686976
"994",2012,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"995",2003,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",172.30828032
"996",2013,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.29250816
"997",1995,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"998",1994,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.69982208
"999",1996,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.62625024
"1000",2018,"ZW","Forest (State)","Forestry","120","Shrubland",184.11757056
"1001",2009,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.9446528
"1002",2017,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1370.95123968
"1003",1999,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"1004",2005,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"1005",1998,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",311.51476224
"1006",2001,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1007",2014,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1008",2014,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"1009",1992,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"1010",2007,"ZW","Forest (State)","Forestry","120","Shrubland",42.22715904
"1011",2009,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1012",2014,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.29250816
"1013",2003,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1504.3425408
"1014",2001,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",3.66803712
"1015",2012,"ZW","Forest (State)","Forestry","120","Shrubland",1.07357184
"1016",2004,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",171.95042304
"1017",2017,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.16303616
"1018",1999,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1019",2004,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1.69982208
"1020",2010,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",25.9446528
"1021",1996,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"1022",2006,"ZW","Wildlife (State)","Wildlife","120","Shrubland",2553.58008576
"1023",2004,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1024",2006,"BW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",1490.56503552
"1025",2005,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",311.3358336
"1026",1995,"BW","Forest (State)","Forestry","120","Shrubland",1185.13384704
"1027",1998,"BW","Forest (State)","Forestry","120","Shrubland",0.17892864
"1028",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1318.07782656
"1029",1997,"ZW","Forest (State)","Forestry","120","Shrubland",69.15591936
"1030",2003,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1328.63461632
"1031",2010,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1032",2014,"ZW","Wildlife (Private)","Wildlife","120","Shrubland",13.15125504
"1033",2003,"BW","Wildlife (State)","Wildlife","120","Shrubland",186.71203584
"1034",2000,"ZW","Forest (State)","Forestry","120","Shrubland",44.01644544
"1035",2014,"ZW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",0.26839296
"1036",1997,"ZW","Mixed (Private)","Wildlife","120","Shrubland",0.26839296
"1037",2009,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.61035776
"1038",1999,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"1039",2004,"BW","Commercial Agriculture (Private)","Commercial Agriculture","120","Shrubland",83.73860352
"1040",2014,"ZW","Forest (State)","Forestry","120","Shrubland",67.18770432
"1041",1997,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1042",1992,"ZW","Mixed (Private)","Arable/pastoral/built/mining","120","Shrubland",1318.43568384
"1043",2009,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"1044",2008,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",309.72547584
"1045",2006,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",311.3358336
"1046",2015,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.61035776
"1047",2012,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",0.53678592
"1048",2016,"ZW","Mixed (Private)","Mining/pastoral/bush/built","120","Shrubland",21.11357952
"1049",2014,"ZW","Forest (State)","Forestry","120","Shrubland",189.12757248
"1050",2011,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"1051",2015,"BW","Wildlife (State)","Wildlife","120","Shrubland",1.25250048
"1052",1995,"ZW","Mixed (Communal)","Arable/pastoral/built","120","Shrubland",519.25091328
"1053",2005,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",99.66325248
"1054",1997,"ZW","Mixed (Private)","Pastoral/bush/built","120","Shrubland",0.26839296
"1055",2018,"ZW","Mixed (Private)","Arable/pastoral/built","120","Shrubland",98.14235904
