"","year","country","land_use","class","description","area"
"3282",1997,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"3409",1997,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"61",1998,"BW","Other Land","10","Crop rainfed",0.80517888
"77",1998,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"92",1998,"BW","National Park","10","Crop rainfed",6.2625024
"413",1998,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",426.38694912
"433",1998,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"480",1998,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"549",1998,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"707",1998,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.59446528
"745",1998,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"765",1998,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",104.40486144
"945",1998,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",50.27894784
"1018",1998,"BW","Other Land","120","Shrubland",1719.23583744
"1066",1998,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1273",1998,"BW","National Park","120","Shrubland",0.62625024
"1275",1998,"BW","Safari Area","120","Shrubland",2.59446528
"1284",1998,"BW","National Park","120","Shrubland",187.60667904
"1387",1998,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1471",1998,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1636",1998,"BW","Other Land","130","Grassland",170.4295296
"1757",1998,"BW","Forest Reserve","130","Grassland",29.075904
"1801",1998,"BW","National Park","130","Grassland",0.08946432
"1811",1998,"BW","National Park","130","Grassland",5.3678592
"2010",1998,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2060",1998,"BW","Other Land","190","Urban areas",0.08946432
"2092",1998,"BW","Other Land","200","Bare areas",66.38252544
"2266",1998,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2360",1998,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2539",1998,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2701",1998,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",35.15947776
"2730",1998,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2744",1998,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2863",1998,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",12.16714752
"2948",1998,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"3097",1998,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"3110",1998,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.38596352
"3233",1998,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"3370",1998,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"3402",1998,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"10",1999,"BW","National Park","10","Crop rainfed",6.2625024
"115",1999,"BW","Forest Reserve","10","Crop rainfed",59.4937728
"140",1999,"BW","Other Land","10","Crop rainfed",1.25250048
"274",1999,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",427.99730688
"306",1999,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"354",1999,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"486",1999,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"694",1999,"BW","Forest Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"710",1999,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.6839296
"846",1999,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",103.59968256
"903",1999,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",48.7580544
"918",1999,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"1109",1999,"BW","Safari Area","120","Shrubland",2.59446528
"1161",1999,"BW","National Park","120","Shrubland",187.60667904
"1185",1999,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1211",1999,"BW","Other Land","120","Shrubland",1717.89387264
"1298",1999,"BW","National Park","120","Shrubland",0.62625024
"1524",1999,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1567",1999,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1794",1999,"BW","Other Land","130","Grassland",169.982208
"1797",1999,"BW","National Park","130","Grassland",0.08946432
"1891",1999,"BW","Forest Reserve","130","Grassland",28.98643968
"1894",1999,"BW","National Park","130","Grassland",5.3678592
"2020",1999,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2065",1999,"BW","Other Land","190","Urban areas",0.08946432
"2131",1999,"BW","Other Land","200","Bare areas",66.38252544
"2293",1999,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2359",1999,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2390",1999,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2685",1999,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2772",1999,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2792",1999,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",35.60679936
"2864",1999,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"2889",1999,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",12.16714752
"3096",1999,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"3137",1999,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.38596352
"3229",1999,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"3246",1999,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"3360",1999,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"154",2000,"BW","Forest Reserve","10","Crop rainfed",59.85163008
"179",2000,"BW","Other Land","10","Crop rainfed",1.25250048
"227",2000,"BW","National Park","10","Crop rainfed",6.2625024
"321",2000,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.44431616
"385",2000,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"435",2000,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
