"","year","country","land_use","class","description","area"
"1996",1998,"ZW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.52089344
"2003",1998,"ZW","National Park","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.17892864
"2064",1998,"ZW","Other Land","190","Urban areas",18.25072128
"2121",1998,"ZW","Other Land","200","Bare areas",9.12536064
"2185",1998,"ZW","Wildlife Management Area","210","Water bodies",10.19893248
"2187",1998,"ZW","Other Land","210","Water bodies",1.25250048
"2239",1998,"ZW","National Park","210","Water bodies",3.5785728
"2248",1998,"ZW","Safari Area","210","Water bodies",0.17892864
"2274",1998,"ZW","Wildlife Management Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.38375168
"2277",1998,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.53089536
"2283",1998,"ZW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",535.08609792
"2320",1998,"ZW","Hunting Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.16303616
"2323",1998,"ZW","Safari Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",3.31017984
"2490",1998,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.3419648
"2510",1998,"ZW","State Forest","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",26.12358144
"2523",1998,"ZW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",16.19304192
"2586",1998,"ZW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",132.58612224
"2622",1998,"ZW","Safari Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",7.78339584
"2698",1998,"ZW","Hunting Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.48910848
"2708",1998,"ZW","State Forest","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",29.25483264
"2719",1998,"ZW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",40.52733696
"2763",1998,"ZW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",0.08946432
"2773",1998,"ZW","Wildlife Management Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",20.5767936
"2840",1998,"ZW","Wildlife Management Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",74.16592128
"2882",1998,"ZW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",165.77738496
"2895",1998,"ZW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",53.14180608
"2907",1998,"ZW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",464.67767808
"2936",1998,"ZW","Hunting Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",6.97821696
"2961",1998,"ZW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",39.45376512
"3045",1998,"ZW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.53678592
"3088",1998,"ZW","State Forest","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",181.07578368
"3165",1998,"ZW","Wildlife Management Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",112.18825728
"3242",1998,"ZW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",0.08946432
"3247",1998,"ZW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",2750.93837568
"3260",1998,"ZW","Hunting Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",17.08768512
"3289",1998,"ZW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",16.72982784
"3301",1998,"ZW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",311.3358336
"3324",1998,"ZW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",291.02743296
"3387",1998,"ZW","State Forest","62","Tree cover  broadleaved  deciduous  open (15-40%)",421.19801856
"3395",1998,"ZW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",586.97540352
"130",1999,"ZW","Wildlife Management Area","10","Crop rainfed",115.8562944
"171",1999,"ZW","Other Land","10","Crop rainfed",217.8456192
"183",1999,"ZW","National Park","10","Crop rainfed",321.53476608
"197",1999,"ZW","Safari Area","10","Crop rainfed",6.53089536
"228",1999,"ZW","State Forest","10","Crop rainfed",3.39964416
"232",1999,"ZW","Forest Reserve","10","Crop rainfed",0.26839296
"259",1999,"ZW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",74.43431424
"278",1999,"ZW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",50.18948352
"334",1999,"ZW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"362",1999,"ZW","Wildlife Management Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",39.00644352
"369",1999,"ZW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",2.05767936
"468",1999,"ZW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",14.49321984
"513",1999,"ZW","State Forest","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",1.61035776
"533",1999,"ZW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",7.42553856
"600",1999,"ZW","State Forest","11","Crop rainfed - herbaceous cover",1.69982208
"612",1999,"ZW","Wildlife Management Area","11","Crop rainfed - herbaceous cover",117.91397376
"692",1999,"ZW","National Park","11","Crop rainfed - herbaceous cover",6.62035968
"706",1999,"ZW","Safari Area","11","Crop rainfed - herbaceous cover",3.48910848
"719",1999,"ZW","Other Land","11","Crop rainfed - herbaceous cover",156.38363136
"770",1999,"ZW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",31.49144064
"805",1999,"ZW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.62625024
"816",1999,"ZW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.35785728
"819",1999,"ZW","Safari Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",14.13536256
"837",1999,"ZW","Wildlife Management Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",11.6303616
"874",1999,"ZW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",38.022336
"977",1999,"ZW","State Forest","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.08946432
"1006",1999,"ZW","Wildlife Management Area","120","Shrubland",1774.61425152
"1032",1999,"ZW","National Park","120","Shrubland",2195.81227008
"1036",1999,"ZW","Safari Area","120","Shrubland",2546.78079744
"1173",1999,"ZW","Forest Reserve","120","Shrubland",7.42553856
"1209",1999,"ZW","Forest Reserve","120","Shrubland",215.34061824
"1219",1999,"ZW","Hunting Reserve","120","Shrubland",13.15125504
"1228",1999,"ZW","State Forest","120","Shrubland",127.75504896
"1278",1999,"ZW","Other Land","120","Shrubland",2495.69667072
"1290",1999,"ZW","Other Land","120","Shrubland",19.2348288
"1417",1999,"ZW","Wildlife Management Area","122","Shrubland deciduous",25.31840256
"1418",1999,"ZW","National Park","122","Shrubland deciduous",13.24071936
"1438",1999,"ZW","Forest Reserve","122","Shrubland deciduous",0.53678592
"1481",1999,"ZW","Other Land","122","Shrubland deciduous",30.8651904
"1540",1999,"ZW","Safari Area","122","Shrubland deciduous",4.11535872
"1588",1999,"ZW","Other Land","122","Shrubland deciduous",0.08946432
"1609",1999,"ZW","State Forest","122","Shrubland deciduous",3.39964416
"1645",1999,"ZW","Other Land","130","Grassland",4.38375168
"1687",1999,"ZW","Wildlife Management Area","130","Grassland",4.38375168
"1699",1999,"ZW","Forest Reserve","130","Grassland",0.80517888
"1742",1999,"ZW","National Park","130","Grassland",106.99932672
"1747",1999,"ZW","Hunting Reserve","130","Grassland",5.63625216
"1795",1999,"ZW","Safari Area","130","Grassland",10.2883968
"1800",1999,"ZW","State Forest","130","Grassland",1.52089344
"1916",1999,"ZW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.52089344
"1929",1999,"ZW","National Park","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.17892864
"1957",1999,"ZW","Wildlife Management Area","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.69982208
"2073",1999,"ZW","Other Land","190","Urban areas",18.69804288
"2117",1999,"ZW","Other Land","200","Bare areas",9.12536064
"2162",1999,"ZW","Wildlife Management Area","210","Water bodies",10.19893248
"2171",1999,"ZW","National Park","210","Water bodies",3.5785728
"2172",1999,"ZW","Safari Area","210","Water bodies",0.17892864
"2174",1999,"ZW","Other Land","210","Water bodies",1.25250048
"2281",1999,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.3419648
"2334",1999,"ZW","Safari Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",3.31017984
"2377",1999,"ZW","State Forest","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",25.67625984
"2409",1999,"ZW","Hunting Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",0.98410752
"2432",1999,"ZW","Wildlife Management Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.38375168
"2442",1999,"ZW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",531.06020352
"2467",1999,"ZW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",16.46143488
"2531",1999,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.53089536
"2585",1999,"ZW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",0.08946432
"2591",1999,"ZW","Hunting Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.236608
"2602",1999,"ZW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",101.63146752
"2643",1999,"ZW","Wildlife Management Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",20.21893632
"2669",1999,"ZW","Safari Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",6.53089536
"2673",1999,"ZW","State Forest","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",24.06590208
"2726",1999,"ZW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",25.76572416
"2892",1999,"ZW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.53678592
"2905",1999,"ZW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",55.0205568
"2919",1999,"ZW","Wildlife Management Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",76.58145792
"2939",1999,"ZW","Hunting Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.85696768
"2996",1999,"ZW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",470.1350016
"3011",1999,"ZW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",39.45376512
"3013",1999,"ZW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",173.47131648
"3044",1999,"ZW","State Forest","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",183.31239168
"3158",1999,"ZW","Hunting Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",18.07179264
"3180",1999,"ZW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",290.93796864
"3211",1999,"ZW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",0.08946432
"3244",1999,"ZW","Wildlife Management Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",112.36718592
"3296",1999,"ZW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",16.72982784
"3310",1999,"ZW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",311.15690496
"3317",1999,"ZW","State Forest","62","Tree cover  broadleaved  deciduous  open (15-40%)",425.31337728
"3322",1999,"ZW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",592.07486976
"3352",1999,"ZW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",2781.98249472
"5",2000,"ZW","State Forest","10","Crop rainfed",3.39964416
"16",2000,"ZW","Wildlife Management Area","10","Crop rainfed",115.8562944
"29",2000,"ZW","National Park","10","Crop rainfed",320.99798016
"42",2000,"ZW","Safari Area","10","Crop rainfed",6.53089536
"147",2000,"ZW","Forest Reserve","10","Crop rainfed",0.26839296
"243",2000,"ZW","Other Land","10","Crop rainfed",218.56133376
"255",2000,"ZW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",2.05767936
"327",2000,"ZW","Wildlife Management Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",40.258944
"330",2000,"ZW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",74.2553856
"382",2000,"ZW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",50.45787648
"383",2000,"ZW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"495",2000,"ZW","State Forest","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",1.61035776
"500",2000,"ZW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",7.42553856
"515",2000,"ZW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",14.49321984
"584",2000,"ZW","Wildlife Management Area","11","Crop rainfed - herbaceous cover",118.45075968
"632",2000,"ZW","Other Land","11","Crop rainfed - herbaceous cover",156.56256
"674",2000,"ZW","Safari Area","11","Crop rainfed - herbaceous cover",3.48910848
"676",2000,"ZW","State Forest","11","Crop rainfed - herbaceous cover",1.69982208
"701",2000,"ZW","National Park","11","Crop rainfed - herbaceous cover",6.62035968
"897",2000,"ZW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.40786688
"923",2000,"ZW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",37.03822848
"924",2000,"ZW","Wildlife Management Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",11.54089728
"929",2000,"ZW","State Forest","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.08946432
"932",2000,"ZW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.35785728
"937",2000,"ZW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.17892864
"966",2000,"ZW","Safari Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",14.04589824
"1021",2000,"ZW","Wildlife Management Area","120","Shrubland",1766.38353408
"1134",2000,"ZW","Other Land","120","Shrubland",19.2348288
"1137",2000,"ZW","Forest Reserve","120","Shrubland",215.34061824
"1182",2000,"ZW","Forest Reserve","120","Shrubland",7.33607424
"1194",2000,"ZW","Safari Area","120","Shrubland",2545.259904
"1197",2000,"ZW","State Forest","120","Shrubland",121.58201088
"1247",2000,"ZW","Other Land","120","Shrubland",2479.32470016
"1341",2000,"ZW","National Park","120","Shrubland",2188.56566016
"1366",2000,"ZW","Hunting Reserve","120","Shrubland",13.15125504
"1379",2000,"ZW","Other Land","122","Shrubland deciduous",0.08946432
"1436",2000,"ZW","Wildlife Management Area","122","Shrubland deciduous",25.13947392
"1437",2000,"ZW","Safari Area","122","Shrubland deciduous",4.11535872
"1521",2000,"ZW","State Forest","122","Shrubland deciduous",3.31017984
"1584",2000,"ZW","National Park","122","Shrubland deciduous",12.9723264
"1586",2000,"ZW","Other Land","122","Shrubland deciduous",30.59679744
"1599",2000,"ZW","Forest Reserve","122","Shrubland deciduous",0.53678592
"1651",2000,"ZW","State Forest","130","Grassland",1.52089344
"1668",2000,"ZW","Safari Area","130","Grassland",10.2883968
"1678",2000,"ZW","Wildlife Management Area","130","Grassland",4.38375168
"1749",2000,"ZW","National Park","130","Grassland",106.99932672
"1837",2000,"ZW","Hunting Reserve","130","Grassland",5.63625216
"1853",2000,"ZW","Other Land","130","Grassland",5.09946624
"1869",2000,"ZW","Forest Reserve","130","Grassland",0.80517888
"1951",2000,"ZW","Wildlife Management Area","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.69982208
"1965",2000,"ZW","National Park","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.17892864
"1976",2000,"ZW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.3419648
"2056",2000,"ZW","Other Land","190","Urban areas",19.50322176
"2084",2000,"ZW","Other Land","200","Bare areas",9.12536064
"2168",2000,"ZW","Wildlife Management Area","210","Water bodies",10.19893248
"2176",2000,"ZW","Safari Area","210","Water bodies",0.17892864
"2179",2000,"ZW","Other Land","210","Water bodies",1.25250048
"2181",2000,"ZW","National Park","210","Water bodies",3.5785728
"2297",2000,"ZW","Hunting Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",0.98410752
"2346",2000,"ZW","State Forest","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",25.67625984
"2365",2000,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.53089536
"2372",2000,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.3419648
"2397",2000,"ZW","Wildlife Management Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.38375168
"2435",2000,"ZW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",16.46143488
"2450",2000,"ZW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",524.43984384
"2522",2000,"ZW","Safari Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",3.31017984
"2577",2000,"ZW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",57.97287936
"2612",2000,"ZW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",18.25072128
"2655",2000,"ZW","Wildlife Management Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",14.49321984
"2660",2000,"ZW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",0.08946432
"2678",2000,"ZW","Safari Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",5.8151808
"2784",2000,"ZW","State Forest","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",10.91464704
"2826",2000,"ZW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",39.45376512
"2862",2000,"ZW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.62625024
"2928",2000,"ZW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",483.107328
"2976",2000,"ZW","Hunting Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",10.02000384
"2997",2000,"ZW","State Forest","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",185.81739264
"3008",2000,"ZW","Wildlife Management Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",87.85396224
"3020",2000,"ZW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",192.70614528
"3072",2000,"ZW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",56.72037888
"3112",2000,"ZW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",0.08946432
"3157",2000,"ZW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",17.17714944
"3219",2000,"ZW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",290.93796864
"3280",2000,"ZW","State Forest","62","Tree cover  broadleaved  deciduous  open (15-40%)",442.22213376
"3315",2000,"ZW","Hunting Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",19.14536448
"3373",2000,"ZW","Wildlife Management Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",113.53022208
"3374",2000,"ZW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",602.18433792
"3401",2000,"ZW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",311.7831552
"3418",2000,"ZW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",2826.89358336
"73",2001,"ZW","Forest Reserve","10","Crop rainfed",0.26839296
"94",2001,"ZW","State Forest","10","Crop rainfed",3.39964416
"105",2001,"ZW","Wildlife Management Area","10","Crop rainfed",115.94575872
"118",2001,"ZW","National Park","10","Crop rainfed",316.34583552
"143",2001,"ZW","Other Land","10","Crop rainfed",221.8715136
"213",2001,"ZW","Safari Area","10","Crop rainfed",6.53089536
"272",2001,"ZW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"307",2001,"ZW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",2.05767936
"309",2001,"ZW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",49.47376896
"343",2001,"ZW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",7.42553856
"460",2001,"ZW","Wildlife Management Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",40.52733696
"487",2001,"ZW","State Forest","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",1.61035776
"536",2001,"ZW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",74.16592128
"546",2001,"ZW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",13.95643392
"585",2001,"ZW","State Forest","11","Crop rainfed - herbaceous cover",1.69982208
"628",2001,"ZW","Wildlife Management Area","11","Crop rainfed - herbaceous cover",118.71915264
"637",2001,"ZW","Safari Area","11","Crop rainfed - herbaceous cover",3.48910848
"684",2001,"ZW","National Park","11","Crop rainfed - herbaceous cover",6.62035968
"728",2001,"ZW","Other Land","11","Crop rainfed - herbaceous cover",157.72559616
"801",2001,"ZW","State Forest","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.08946432
"810",2001,"ZW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",32.6544768
"811",2001,"ZW","Wildlife Management Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",11.09357568
"817",2001,"ZW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.35785728
"946",2001,"ZW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",16.01411328
"960",2001,"ZW","Safari Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",14.04589824
"984",2001,"ZW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.17892864
"1102",2001,"ZW","Other Land","120","Shrubland",19.2348288
"1136",2001,"ZW","Wildlife Management Area","120","Shrubland",1765.5783552
"1142",2001,"ZW","Forest Reserve","120","Shrubland",215.34061824
"1176",2001,"ZW","Other Land","120","Shrubland",2477.62487808
"1236",2001,"ZW","Hunting Reserve","120","Shrubland",13.15125504
"1246",2001,"ZW","State Forest","120","Shrubland",120.50843904
"1349",2001,"ZW","Forest Reserve","120","Shrubland",7.33607424
"1359",2001,"ZW","National Park","120","Shrubland",2181.76637184
"1369",2001,"ZW","Safari Area","120","Shrubland",2546.95972608
"1404",2001,"ZW","Other Land","122","Shrubland deciduous",30.4178688
"1439",2001,"ZW","Forest Reserve","122","Shrubland deciduous",0.53678592
"1507",2001,"ZW","Other Land","122","Shrubland deciduous",0.08946432
"1571",2001,"ZW","State Forest","122","Shrubland deciduous",3.31017984
"1582",2001,"ZW","Wildlife Management Area","122","Shrubland deciduous",24.96054528
"1595",2001,"ZW","Safari Area","122","Shrubland deciduous",4.11535872
"1606",2001,"ZW","National Park","122","Shrubland deciduous",12.9723264
"1715",2001,"ZW","Other Land","130","Grassland",5.09946624
"1717",2001,"ZW","National Park","130","Grassland",106.99932672
"1763",2001,"ZW","Hunting Reserve","130","Grassland",5.63625216
"1883",2001,"ZW","Forest Reserve","130","Grassland",0.80517888
"1885",2001,"ZW","Safari Area","130","Grassland",10.2883968
"1895",2001,"ZW","State Forest","130","Grassland",1.52089344
"1902",2001,"ZW","Wildlife Management Area","130","Grassland",4.38375168
"1961",2001,"ZW","National Park","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.17892864
"2011",2001,"ZW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.3419648
"2015",2001,"ZW","Wildlife Management Area","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.69982208
"2069",2001,"ZW","Other Land","190","Urban areas",19.50322176
"2134",2001,"ZW","Other Land","200","Bare areas",9.12536064
"2201",2001,"ZW","National Park","210","Water bodies",3.5785728
"2216",2001,"ZW","Other Land","210","Water bodies",1.25250048
"2240",2001,"ZW","Wildlife Management Area","210","Water bodies",10.19893248
"2256",2001,"ZW","Safari Area","210","Water bodies",0.17892864
"2260",2001,"ZW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",16.5508992
"2343",2001,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.53089536
"2447",2001,"ZW","Wildlife Management Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.56268032
"2461",2001,"ZW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.3419648
"2475",2001,"ZW","State Forest","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",25.31840256
"2487",2001,"ZW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",512.183232
"2497",2001,"ZW","Hunting Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",0.98410752
"2549",2001,"ZW","Safari Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",3.31017984
"2565",2001,"ZW","State Forest","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.32607232
"2593",2001,"ZW","Wildlife Management Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",13.419648
"2688",2001,"ZW","Safari Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",4.65214464
"2729",2001,"ZW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",13.68804096
