"country","date","land use (tenure)","area_km2","npp"
"BW",2003-08-15,"Forest (State)",2525.80424739454,16177.3188789487
"BW",2003-08-15,"Mixed (Private)",2796.3728082893,13498.2205283046
"BW",2003-08-15,"Wildlife (State)",405.799737951947,2062.72439092398
"BW",2003-09-15,"Commercial Agriculture (Private)",285.644852714432,380.385832607746
"BW",2003-09-15,"Forest (State)",2525.80424739454,6278.41141933203
"BW",2003-09-15,"Mixed (Private)",2796.3728082893,4910.51377026737
"BW",2003-09-15,"Wildlife (State)",405.799737951947,689.66338275373
"BW",2003-10-15,"Commercial Agriculture (Private)",285.644852714432,644.982290923595
"BW",2003-10-15,"Forest (State)",2525.80424739454,9315.43897473812
"BW",2003-10-15,"Mixed (Private)",2796.3728082893,8475.55315023661
"BW",2003-10-15,"Wildlife (State)",405.799737951947,1232.70474645495
"BW",2003-11-15,"Commercial Agriculture (Private)",285.644852714432,2138.10235869884
"BW",2003-11-15,"Forest (State)",2525.80424739454,32989.8387012482
"BW",2003-11-15,"Mixed (Private)",2796.3728082893,29655.6417699456
"BW",2003-11-15,"Wildlife (State)",405.799737951947,4026.48419028521
"BW",2003-12-15,"Commercial Agriculture (Private)",285.644852714432,2168.60435926914
"BW",2003-12-15,"Forest (State)",2525.80424739454,36362.4763325453
"BW",2003-12-15,"Mixed (Private)",2796.3728082893,33086.0059363246
"BW",2003-12-15,"Wildlife (State)",405.799737951947,4662.98027050495
"BW",2004-01-15,"Commercial Agriculture (Private)",285.644852714432,4397.96454644203
"BW",2004-01-15,"Forest (State)",2525.80424739454,67153.7850596905
"BW",2004-01-15,"Mixed (Private)",2796.3728082893,63074.7556103468
"BW",2004-01-15,"Wildlife (State)",405.799737951947,9286.52362322807
"BW",2004-02-15,"Commercial Agriculture (Private)",285.644852714432,2595.30714917183
"BW",2004-02-15,"Forest (State)",2525.80424739454,33989.8189117908
"BW",2004-02-15,"Mixed (Private)",2796.3728082893,33650.9861732721
"BW",2004-02-15,"Wildlife (State)",405.799737951947,5361.15948224068
"BW",2004-03-15,"Commercial Agriculture (Private)",285.644852714432,3411.36026966572
"BW",2004-03-15,"Forest (State)",2525.80424739454,44681.7190003395
"BW",2004-03-15,"Mixed (Private)",2796.3728082893,42544.5689121485
"BW",2004-03-15,"Wildlife (State)",405.799737951947,6832.39953422546
"BW",2004-04-15,"Commercial Agriculture (Private)",285.644852714432,2897.55116677284
"BW",2004-04-15,"Forest (State)",2525.80424739454,37684.5435301065
"BW",2004-04-15,"Mixed (Private)",2796.3728082893,34954.0078940392
"BW",2004-04-15,"Wildlife (State)",405.799737951947,5312.6751550436
"BW",2004-05-15,"Commercial Agriculture (Private)",285.644852714432,3314.74610042572
"BW",2004-05-15,"Forest (State)",2525.80424739454,43546.8564230204
"BW",2004-05-15,"Mixed (Private)",2796.3728082893,40558.5159164667
"BW",2004-05-15,"Wildlife (State)",405.799737951947,6289.83070242405
"BW",2004-06-15,"Commercial Agriculture (Private)",285.644852714432,2653.29924750328
"BW",2004-06-15,"Forest (State)",2525.80424739454,35212.2004537582
"BW",2004-06-15,"Mixed (Private)",2796.3728082893,33430.8288043737
"BW",2004-06-15,"Wildlife (State)",405.799737951947,5278.00991559029
"BW",2004-07-15,"Commercial Agriculture (Private)",285.644852714432,2007.20673346519
"BW",2004-07-15,"Forest (State)",2525.80424739454,27870.3502724171
"BW",2004-07-15,"Mixed (Private)",2796.3728082893,25843.3388240337
"BW",2004-07-15,"Wildlife (State)",405.799737951947,4087.01564389467
"BW",2004-08-15,"Commercial Agriculture (Private)",285.644852714432,826.399600446224
"BW",2004-08-15,"Forest (State)",2525.80424739454,13205.4290838838
"BW",2004-08-15,"Mixed (Private)",2796.3728082893,10931.3899382949
"BW",2004-08-15,"Wildlife (State)",405.799737951947,1681.87798127532
"BW",2004-09-15,"Commercial Agriculture (Private)",285.644852714432,155.356299355626
"BW",2004-09-15,"Forest (State)",2525.80424739454,2998.31303159706
"BW",2004-09-15,"Mixed (Private)",2796.3728082893,1668.03347102739
"BW",2004-09-15,"Wildlife (State)",405.799737951947,160.204722125083
"BW",2004-10-15,"Commercial Agriculture (Private)",285.644852714432,779.480324029922
"BW",2004-10-15,"Forest (State)",2525.80424739454,14332.525609374
"BW",2004-10-15,"Mixed (Private)",2796.3728082893,10540.5335268676
"BW",2004-10-15,"Wildlife (State)",405.799737951947,1683.50196439028
"BW",2004-11-15,"Commercial Agriculture (Private)",285.644852714432,1590.6023722291
"BW",2004-11-15,"Forest (State)",2525.80424739454,26626.207030654
"BW",2004-11-15,"Mixed (Private)",2796.3728082893,20887.4330436587
"BW",2004-11-15,"Wildlife (State)",405.799737951947,3308.16734755039
"BW",2004-12-15,"Commercial Agriculture (Private)",285.644852714432,2415.1889539957
"BW",2004-12-15,"Forest (State)",2525.80424739454,38657.9785652161
"BW",2004-12-15,"Mixed (Private)",2796.3728082893,32678.7321065664
"BW",2004-12-15,"Wildlife (State)",405.799737951947,4878.11810153723
"BW",2005-01-15,"Commercial Agriculture (Private)",285.644852714432,3078.52559709549
"BW",2005-01-15,"Forest (State)",2525.80424739454,46916.8367249966
"BW",2005-01-15,"Mixed (Private)",2796.3728082893,44493.2696119547
"BW",2005-01-15,"Wildlife (State)",405.799737951947,6838.39372241497
"BW",2005-02-15,"Commercial Agriculture (Private)",285.644852714432,3112.77755331993
"BW",2005-02-15,"Forest (State)",2525.80424739454,47052.2205396891
"BW",2005-02-15,"Mixed (Private)",2796.3728082893,43635.3466277122
"BW",2005-02-15,"Wildlife (State)",405.799737951947,6894.73221647739
"BW",2005-03-15,"Commercial Agriculture (Private)",285.644852714432,1751.73426568508
"BW",2005-03-15,"Forest (State)",2525.80424739454,25882.0238649249
"BW",2005-03-15,"Mixed (Private)",2796.3728082893,21867.187074542
"BW",2005-03-15,"Wildlife (State)",405.799737951947,3498.35433369875
"BW",2005-04-15,"Commercial Agriculture (Private)",285.644852714432,1959.93308544159
"BW",2005-04-15,"Forest (State)",2525.80424739454,26608.8739937544
"BW",2005-04-15,"Mixed (Private)",2796.3728082893,23794.5691096783
"BW",2005-04-15,"Wildlife (State)",405.799737951947,3618.05906659365
"BW",2005-05-15,"Commercial Agriculture (Private)",285.644852714432,1915.87795698643
"BW",2005-05-15,"Forest (State)",2525.80424739454,24748.8449834585
"BW",2005-05-15,"Mixed (Private)",2796.3728082893,21488.1712520123
"BW",2005-05-15,"Wildlife (State)",405.799737951947,3240.84449583292
"BW",2005-06-15,"Commercial Agriculture (Private)",285.644852714432,1679.00789964199
"BW",2005-06-15,"Forest (State)",2525.80424739454,24398.9728860855
"BW",2005-06-15,"Mixed (Private)",2796.3728082893,20878.308948338
"BW",2005-06-15,"Wildlife (State)",405.799737951947,3229.86023896933
"BW",2005-07-15,"Commercial Agriculture (Private)",285.644852714432,1657.95469158888
"BW",2005-07-15,"Forest (State)",2525.80424739454,24870.70511657
"BW",2005-07-15,"Mixed (Private)",2796.3728082893,21015.0215331316
"BW",2005-07-15,"Wildlife (State)",405.799737951947,3316.81894087791
"BW",2005-08-15,"Commercial Agriculture (Private)",285.644852714432,206.11417478323
"BW",2005-08-15,"Forest (State)",2525.80424739454,3266.68902292848
"BW",2005-08-15,"Mixed (Private)",2796.3728082893,2334.91340184212
"BW",2005-08-15,"Wildlife (State)",405.799737951947,298.541339829564
"BW",2005-09-15,"Commercial Agriculture (Private)",285.644852714432,-69.7618121597916
"BW",2005-09-15,"Forest (State)",2525.80424739454,-871.03738841787
"BW",2005-09-15,"Mixed (Private)",2796.3728082893,-1167.61613312177
"BW",2005-09-15,"Wildlife (State)",405.799737951947,-266.498023811728
"BW",2005-10-15,"Commercial Agriculture (Private)",285.644852714432,-538.748032420874
"BW",2005-10-15,"Forest (State)",2525.80424739454,-7879.34457573295
"BW",2005-10-15,"Mixed (Private)",2796.3728082893,-7367.57684600353
"BW",2005-10-15,"Wildlife (State)",405.799737951947,-1236.03543713689
"BW",2005-11-15,"Commercial Agriculture (Private)",285.644852714432,1385.12005025148
"BW",2005-11-15,"Forest (State)",2525.80424739454,22186.5020977259
"BW",2005-11-15,"Mixed (Private)",2796.3728082893,16113.9782694578
"BW",2005-11-15,"Wildlife (State)",405.799737951947,2810.06695020199
"BW",2005-12-15,"Commercial Agriculture (Private)",285.644852714432,1985.82873058319
"BW",2005-12-15,"Forest (State)",2525.80424739454,30126.81711936
"BW",2005-12-15,"Mixed (Private)",2796.3728082893,24645.7890295982
"BW",2005-12-15,"Wildlife (State)",405.799737951947,4639.91933065653
"BW",2006-01-15,"Commercial Agriculture (Private)",285.644852714432,3142.65946865082
"BW",2006-01-15,"Forest (State)",2525.80424739454,48808.8149508238
"BW",2006-01-15,"Mixed (Private)",2796.3728082893,44616.960447669
"BW",2006-01-15,"Wildlife (State)",405.799737951947,7375.11604738235
"BW",2006-02-15,"Commercial Agriculture (Private)",285.644852714432,3122.96459543705
"BW",2006-02-15,"Forest (State)",2525.80424739454,47729.4943025112
"BW",2006-02-15,"Mixed (Private)",2796.3728082893,44769.1456872225
"BW",2006-02-15,"Wildlife (State)",405.799737951947,7237.87221980095
"BW",2006-03-15,"Commercial Agriculture (Private)",285.644852714432,3926.61608505249
"BW",2006-03-15,"Forest (State)",2525.80424739454,59335.6845297813
"BW",2006-03-15,"Mixed (Private)",2796.3728082893,54086.6558088064
"BW",2006-03-15,"Wildlife (State)",405.799737951947,8702.17304801941
"BW",2006-04-15,"Commercial Agriculture (Private)",285.644852714432,3000.1299380064
"BW",2006-04-15,"Forest (State)",2525.80424739454,42137.4469838142
"BW",2006-04-15,"Mixed (Private)",2796.3728082893,39219.7952578068
"BW",2006-04-15,"Wildlife (State)",405.799737951947,6254.01385211945
"BW",2006-05-15,"Commercial Agriculture (Private)",285.644852714432,2458.38781297207
"BW",2006-05-15,"Forest (State)",2525.80424739454,31449.0611871481
"BW",2006-05-15,"Mixed (Private)",2796.3728082893,28776.458704114
"BW",2006-05-15,"Wildlife (State)",405.799737951947,4515.6674015522
"BW",2006-06-15,"Commercial Agriculture (Private)",285.644852714432,2476.3406535387
"BW",2006-06-15,"Forest (State)",2525.80424739454,30181.5313857794
"BW",2006-06-15,"Mixed (Private)",2796.3728082893,27392.0293406844
"BW",2006-06-15,"Wildlife (State)",405.799737951947,4385.00774937868
